"","state","FIPS","year","gun_deaths","cdc_population","gun_death_rate","household_firearm_ownership","universal_background_check","permit_required","firearm_laws"
"1","Alabama",1,1999,736,4430141,16.6,0.537,0,0,0
"2","Alabama",1,2000,730,4447100,16.4,0.538,0,0,0
"3","Alabama",1,2001,696,4467634,15.6,0.522,0,0,0
"4","Alabama",1,2002,679,4480089,15.2,0.553,0,0,0
"5","Alabama",1,2003,726,4503491,16.1,0.504,0,0,0
"6","Alabama",1,2004,646,4530729,14.3,0.516,0,0,0
"7","Alabama",1,2005,694,4569805,15.2,0.485,0,0,0
"8","Alabama",1,2006,741,4628981,16,0.468,0,0,0
"9","Alabama",1,2007,787,4672840,16.8,0.481,0,0,0
"10","Alabama",1,2008,787,4718206,16.7,0.503,0,0,0
"11","Alabama",1,2009,801,4757938,16.8,0.482,0,0,0
"12","Alabama",1,2010,746,4779736,15.6,0.456,0,0,0
"13","Alabama",1,2011,759,4802740,15.8,0.513,0,0,0
"14","Alabama",1,2012,815,4822023,16.9,0.543,0,0,0
"15","Alabama",1,2013,828,4833722,17.1,0.516,0,0,0
"16","Alabama",1,2014,780,4849377,16.1,0.51,0,0,0
"17","Alabama",1,2015,933,4858979,19.2,0.495,0,0,0
"18","Alabama",1,2016,1013,4863300,20.8,0.528,0,0,0
"19","Alaska",2,1999,84,624779,13.4,0.571,0,0,0
"20","Alaska",2,2000,113,626932,18,0.601,0,0,0
"21","Alaska",2,2001,94,633714,14.8,0.61,0,0,0
"22","Alaska",2,2002,124,642337,19.3,0.614,0,0,0
"23","Alaska",2,2003,117,648414,18,0.587,0,0,0
"24","Alaska",2,2004,116,659286,17.6,0.58,0,0,0
"25","Alaska",2,2005,114,666946,17.1,0.609,0,0,0
"26","Alaska",2,2006,107,675302,15.8,0.551,0,0,0
"27","Alaska",2,2007,120,680300,17.6,0.577,0,0,0
"28","Alaska",2,2008,134,687455,19.5,0.613,0,0,0
"29","Alaska",2,2009,102,698895,14.6,0.543,0,0,0
"30","Alaska",2,2010,141,710231,19.9,0.611,0,0,0
"31","Alaska",2,2011,124,722718,17.2,0.627,0,0,0
"32","Alaska",2,2012,123,731449,16.8,0.607,0,0,0
